film_id,imdb_id,title,duration_minutes,year_released,genres,popularity,average_rating,production_cost,box_office_revenue,actor1,actor2,actor3,director,writer,production_company
5708,tt0421082,Control,121.0,2007,/dr/,"8,00969",7.5,,8159508,Sam Riley,Samantha Morton,Alexandra Maria Lara,Anton Corbijn,Matt Greenhalgh,Becker International
6535,tt0796368,Talk to Me,118.0,2007,/dr/,"7,960831",7.1,,4778376,Don Cheadle,Chiwetel Ejiofor,Taraji P Henson,Kasi Lemmons,Michael Genet,The Mark Gordon Company
9503,tt0458455,Pope Joan,149.0,2009,/dr/,"7,289967",6.5,,27412220,John Goodman,Johanna Wokalek,David Wenham,Sönke Wortmann,Heinrich Hadding,Constantin Film
9918,tt0385726,Glory Road,118.0,2006,/dr/,"5,244654",7.2,,42647449,Josh Lucas,Derek Luke,Jon Voight,James Gartner,,Walt Disney Pictures
10190,tt0787523,Towelhead,111.0,2008,/dr/,"3,376907",6.5,,367638,Summer Bishil,Aaron Eckhart,Toni Collette,Alan Ball,Alan Ball,This Is That Productions
11652,tt0445990,Invincible,105.0,2006,/dr/,"9,794881",6.7,,57806952,Mark Wahlberg,Greg Kinnear,Elizabeth Banks,Ericson Core,Brad Gann,Walt Disney Pictures
13078,tt0796302,The Babysitters,88.0,2007,/dr/,"4,822464",5.1,,44852,John Leguizamo,Katherine Waterston,Cynthia Nixon,David Ross,David Ross,Forensic Films
13793,tt1037218,Flashbacks of a Fool,110.0,2008,/dr/,"3,936673",7.1,,1107542,Daniel Craig,Harry Eden,Miriam Karlin,Baillie Walsh,Baillie Walsh,Left Turn Films
14349,tt0888693,Sleepwalking,101.0,2008,/dr/,"11,823889",6.4,,204660,Nick Stahl,AnnaSophia Robb,Charlize Theron,William Maher,Zac Stanford,Infinity Features Entertainment
14634,tt0847897,The Stone Angel,116.0,2007,/dr/,"0,618434",5.6,,473993,Ellen Burstyn,Christine Horne,Cole Hauser,Kari Skogland,Kari Skogland,Téléfilm Canada
15006,tt0822849,Rails & Ties,101.0,2007,/dr/,"7,625656",5.5,,22136,Kevin Bacon,Marcia Gay Harden,Miles Heizer,Alison Eastwood,,
15457,tt0948535,Paris 36,120.0,2008,/dr/,"12,270513",6.2,,850575,Gérard Jugnot,Clovis Cornillac,Kad Merad,Christophe Barratier,,Galatée Films
17025,tt0810951,Look,98.0,2007,/dr/,"1,282833",5.9,,16136,Jamie McShane,Spencer Redford,Sebastian Feldman,Adam Rifkin,Adam Rifkin,Capture Film Internatrional
31007,tt1183923,Welcome to the Rileys,110.0,2010,/dr/,"6,182802",6.5,,42145,Kristen Stewart,James Gandolfini,Melissa Leo,Jake Scott,Ken Hixon,Destination Films
33997,tt1054580,Desert Flower,120.0,2009,/dr/,"4,290624",7.2,,14631377,Liya Kebede,Sally Hawkins,Craig Parkinson,Sherry Hormann,Smita Bhide,Desert Flower Filmproductions
43920,tt1422020,Dog Pound,91.0,2010,/dr/,"5,059285",7.5,,430041,Adam Butcher,Shane Kippel,Mateo Morales,Kim Chapiron,Kim Chapiron,Angoa-Agicoa
44944,tt1405500,For Colored Girls,134.0,2010,/dr/,"2,216959",7.0,,37000000,Kimberly Elise,Janet Jackson,Loretta Devine,Tyler Perry,Tyler Perry,Lions Gate Films
44998,tt1322264,The Dry Land,92.0,2010,/dr/,"0,118135",6.0,,12000,America Ferrera,Jason Ritter,Wilmer Valderrama,Ryan Piers Williams,,
45595,tt1366409,Miral,112.0,2010,/dr/,"4,435032",5.1,,852336,Freida Pinto,Hiam Abbass,Willem Dafoe,Julian Schnabel,Rula Jebreal,Eran Riklis Productions Ltd.
45791,tt0829098,When Did You Last See Your Father?,92.0,2007,/dr/,"1,040302",6.8,,92,Jim Broadbent,Colin Firth,Juliet Stevenson,Anand Tucker,David Nicholls,Intandem Films
54602,tt1312254,Skateland,98.0,2010,/dr/,"2,150786",5.8,,14944,Ashley Greene,Shiloh Fernandez,Brett Cullen,Anthony Burns,Anthony Burns,Skateland Productions
55893,tt1530975,Putty Hill,87.0,2010,/dr/,"0,514257",6.7,,48132,Sky Ferreira,Cody Ray,Dustin Ray,Matthew Porterfield,Matthew Porterfield,The Hamilton Film Group
59437,tt1533013,Beautiful Boy,100.0,2010,/dr/,"2,114833",6.1,,63931,Michael Sheen,Maria Bello,Alan Tudyk,Shawn Ku,Shawn Ku,First Point Entertainment
66025,tt1450328,Mooz-lum,95.0,2011,/dr/,"0,816803",4.5,,330048,Nia Long,Danny Glover,Evan Ross,Qasim Basir,,
74308,tt1683526,Detachment,97.0,2011,/dr/,"4,179477",7.3,,72689,Adrien Brody,Marcia Gay Harden,James Caan,Tony Kaye,Carl Lund,Appian Way
77878,tt1802197,The Lady,135.0,2011,/dr/,"11,155052",6.9,,3759582,Michelle Yeoh,David Thewlis,Jonathan Raggett,Luc Besson,Rebecca Frayn,Mars Distribution
78571,tt0455323,Being Flynn,102.0,2012,/dr/,"4,494016",5.8,,540152,Robert De Niro,Julianne Moore,Paul Dano,Paul Weitz,Paul Weitz,Depth of Field
82631,tt1870529,Won't Back Down,121.0,2012,/dr/,"2,401289",5.8,,5310554,Viola Davis,Maggie Gyllenhaal,Ving Rhames,Daniel Barnz,Daniel Barnz,Gran Via Productions
83860,tt1720182,October Baby,107.0,2011,/dr/,"1,604527",6.8,,5355847,Rachel Hendrix,Jason Burkey,Robert Amaya,Andrew Erwin,Jon Erwin,
84191,tt1827578,The End of Love,89.0,2013,/dr/,"1,346317",5.8,,8326,Mark Webber,Isaac Love,Shannyn Sossamon,Mark Webber,Mark Webber,
84317,tt1907731,Nobody Walks,83.0,2012,/dr/,"3,705199",5.0,,24995,Dylan McDermott,John Krasinski,Jane Levy,Ry Russo-Young,Ry Russo-Young,
94671,tt1781840,Jayne Mansfield's Car,122.0,2012,/dr/,"1,655794",5.9,,14836,Kevin Bacon,Tippi Hedren,Shawnee Smith,Billy Bob Thornton,Billy Bob Thornton,Media Talent Group
112336,tt0975645,Hitchcock,98.0,2012,/dr/,"10,841495",6.3,,23570541,Anthony Hopkins,Helen Mirren,Scarlett Johansson,Sacha Gervasi,John J McLaughlin,Fox Searchlight Pictures
121598,tt1714866,Midnight's Children,148.0,2012,/dr/,"8,00411",5.4,,884100,Satya Bhabha,Shahana Goswami,Shabana Azmi,Deepa Mehta,Salman Rushdie,Relativity Media
121872,tt2115295,Ginger & Rosa,89.0,2012,/dr/,"10,463908",6.4,,1005700,Elle Fanning,Alice Englert,Christina Hendricks,Sally Potter,Sally Potter,A24
154282,tt2364949,Touchy Feely,89.0,2013,/dr/,"2,976672",5.2,,35022,Ellen Page,Rosemarie DeWitt,Scoot McNairy,Lynn Shelton,Lynn Shelton,Lynn Shelton
156277,tt1462411,Big Sur,100.0,2013,/dr/,"2,76283",4.8,,33621,Kate Bosworth,Josh Lucas,Radha Mitchell,Michael Polish,Michael Polish,3311 Productions
157354,tt2334649,Fruitvale Station,85.0,2013,/dr/,"13,305596",7.3,,17385830,Michael B Jordan,Octavia Spencer,Melonie Diaz,Ryan Coogler,Ryan Coogler,orest Whitaker's Significant Production
